 [2026-04-11T02:14:18.377Z] Bridge server on http://localhost:3000  (log: /home/mithun/Documents/inftok/browser-ai-mcp-bridge/backend/bridge.log)
[2026-04-11T02:14:30.350Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:30.429Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:30.507Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:30.640Z] [Browser:debug] (HTTP) [v2.3-DIRECT] New AI turn detected (now 1 turns)
[2026-04-11T02:14:30.647Z] [Relay] Stream received (HTTP, 42 chars)
[2026-04-11T02:14:31.139Z] [Relay] Stream received (HTTP, 30 chars)
[2026-04-11T02:14:31.364Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.379Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.409Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.410Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.411Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.457Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.523Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.682Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.690Z] [Relay] Stream received (HTTP, 16 chars)
[2026-04-11T02:14:31.697Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.966Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:31.996Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.039Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.177Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.307Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.327Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.335Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.352Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.461Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.552Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.671Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.717Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:32.822Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:33.280Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:33.371Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:33.473Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
[2026-04-11T02:14:33.556Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: true)
